question,answer
What is the main cause of HIV-1 infection in children?,Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. 
What plays the crucial role in the Mother to Child Transmission of HIV-1 and what increases the risk,DC-SIGNR plays a crucial role in MTCT of HIV-1 and that impaired placental DC-SIGNR expression increases risk of transmission.
"How many children were infected by HIV-1 in 2008-2009, worldwide?","more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa. "
What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?,"High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants"
What is DC-GENR and where is  it expressed?,"Dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or liver/lymph node-specific ICAM-grabbing non-integrin (L-SIGN)) can interact with a plethora of pathogens including HIV-1 and is expressed in placental capillary endothelial cells"
How does the presence of DC-SIGNR affect the MTCT of HIV-1?,the presence of DC-SIGNR at the placental endothelial cell surface may protect infants from HIV-1 infection by capturing virus and promoting its degradation/presentation. 
Why do low levels of DC-SIGNR enhance Mother to Child Transmission of HIV-1?,"in placenta containing low levels of DC-SIGNR, HIV-1 would preferentially binds CCR5 on endothelial cells resulting in a loss of placental barrier integrity and enhanced passage of maternal HIV-1-infected cells in foetal circulation leading to MTCT of HIV-1"
"What is the percentage of Mother to Child Transmission of HIV-1, when there is no intervention?","Without specific interventions, the rate of HIV-1 mother-tochild transmission (MTCT) is approximately 15-45%"
Does C-C chemokine receptor type 5 (CCR5) affect the transmission of HIV-1?,Genetic variants in CCR5 have been shown to influence vertical transmission of HIV-1. CCR5 promoter variants resulting in higher expression of the receptor were associated with increased risk of MTCT of HIV-1 among sub-Saharan Africans
How does Mannanose Binding Lectin (MBL) affect elimination of HIV-1 pathogen?,"Mannose-binding lectin (MBL) is an innate immune receptor synthesised in the liver and secreted in the bloodstream in response to inflammation signal. MBL promotes pathogen elimination by opsonization and phagocytosis,"
How can CCR5's effect in HIV-1 transmission be reduced?,The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1
What is IFITM?,interferon-induced transmembrane
How many cysteine residues are contained in the first transmembrane domain of IFITM3?,three
What inhibits S-palmitoylation?,2-bromopalmitic acid (2BP)
What interaction is inhibited by the presence of 2-bromopalmitic acid (2BP)?,IFITM5 with FKBP11
What is a function associated with IFITM5?,bone formation factor.
What regulates the antiviral activity of IFITM3?,S-palmitoylation on the protein
What is another name for IFITM5?,bonerestricted IFITM-like (BRIL) protein
Why is the expression of IFITM5 not promoted by interferons?,the region upstream of the ifitm5 gene lacks the interferon regulatory elements
What is the amino acid similarity between IFITM5 and the other IFITM proteins?,~ 65% similarity
"What is the amino acid similarity between IFITM 1, IFITM 2, and IFITM 3?",~ 85% similarity
What amino acid might be involved in calcium binding in the C-terminal region of a protein?,aspartate
What is the size of bovine coronavirus?,31 kb
What is the molecular structure of bovine coronavirus?,"single-stranded, linear, and nonsegmented RNA"
How many nucleotides does bovine coronavirus contain?,"30,847 nucleotides"
What is the size of the orf1ab gene in bovine coronavirus?,20kb
Is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome?,5= side
What is a significant cause of Influenze like illness among healthy adolescents and adults presenting for medical evaluation?,HCoV
"What is the most common species of Human Coronavirus among adults?
",HCoV-OC43
Which Human Coronavirus showed species specific clinical characteristics of its infection?,HCoV‐HKU1
What causes the outbreak of SARS and MERS.,Highly virulent species of HCoV
What is the case fatality rate of SARS and MERS?,ranged from 14% to 45%
What were the common HCOV strains in the 5 year USA study?, HCoV-OC43 and HCoV-229E
Which species are more prevalent but less severe?,"HCoV-HKU1, HCoV-OC43, HCoV-NL63, and HCoV-229E"
What is required for a Hepatitis B infection in cells?,both intracellular and cell-surface factors
"What regulates the broad, but less specific, virus-cell interaction in a hepatitis B infection?",heparan sulfates in the membrane proteins
Which protein domain of the Hepatitis B envelope is necessary for infection?,Nterminus of HBV preS1 (amino acids 1-47) 
Where is NTCP located in the body?,lateral surface (canalicular) of hepatocytes
What does the NTCP protein mediate?,bile acid transport 
Is NTCP sufficient to allow HBV infection?,not sufficient
Why is NTCP thought to not be sufficient for HBV infection?,the majority of HepaRG cells were found to express NPCT but not to be infected
"What kinds of viruses are Japanese encephalitis virus(JEV), tick-borne encephalitis virus(TBEV), eastern equine encephalitis virus (EEEV), sindbis virus(SV), and dengue virus(DV)?",arboviruses
What are the current clinically-available methods to detect encephalitis viral antigens?,ELISA and IFA
