question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
Is it safe to travel to chicago?,"1. self-isolate for 14 days after returning from travel  2. monitor for symptoms of COVID-19 (fever, cough or difficulty breathing) for 14 days after returning to Canada 3. wash your hands often for 20 seconds and cough or sneeze into a tissue or the bend of your arm, not your hand",,,,,,,,,,
Am I at risk for COVID-19 in the United Staes?,"The risk assessment changes daily. Currently, all states in the U.S. have reported cases of COVID-19. It is important to limit unnecessary travel and practice hand-washing, and social distancing.",,,,,,,,,,
What are the sympthoms of covid-19?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
how long does coronavirus stay on different surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
where was the corona virus made,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
"If I have a mild respiratory disease, do I need to go to my doctor's practice to pick up a sick leave certificate?","Starting immediately, patients with mild respiratory diseases of the upper respiratory tract can have a certificate a certificate of unfitness for work issued for a maximum of seven days, after consulting with their doctor by phone. There is no need to go to your doctor's practice for this purpose. This agreement has been in force since 9 March 2020, for an initial period of four weeks.. ","<p>Starting immediately, patients with mild respiratory diseases <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">the</span> upper respiratory tract can have a certificate a certificate <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> unfitness <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> work issued <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> a maximum <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> seven days, after consulting with their doctor by phone. There is no need to go to your doctor's practice <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> this purpose. This agreement has been in force since 9 March 2020, <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">for</span> an initial period <span  lang=""en"" xml:lang=""en"" data-toggle=""popover""  tabindex=""0"" class=""glossaryentry"" title="""">of</span> four weeks. </p>",https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,Frequently asked questions,Bundesministerium für Gesundheit,,Germany,,,en,3/18/20
What is Covid 19,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
symptoms?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
If I was traveling abroad recently,"If you do not have any symptoms, you will be asked to do the following: Self-isolate for 14 days after your return to Canada. Some provinces and territories may have specific recommendations for certain groups such as health care workers. Self-isolate means: stay home and keep your distance from others do not have visitors, especially older adults, or those with medical conditions who are at a higher risk of developing serious illness Monitor your health for fever, cough or difficulty breathing. Wash your hands often with soap and warm water for 20 seconds, or use an alcohol-based hand sanitizer if soap and water are not available. Cover your mouth and nose with your arm when coughing or sneezing. If you develop a fever, cough or difficulty breathing within 14 days: Continue to isolate yourself from others Immediately call a health care professional or public health authority and: describe your symptoms and travel history follow their instructions carefully",,,,,,,,,,
Whom should healthcare providers notify if they suspect a patient has COVID-19?,Healthcare providers should consult with local or state health departments to determine whether patients meet criteria for a Persons Under Investigation (PUI). Providers should immediately notify infection control personnel at their facility if they suspect COVID-19 in a patient.,"<p>A:&nbsp;Healthcare providers should consult with local or state health departments to determine whether patients meet <a href=""/coronavirus/2019-nCoV/clinical-criteria.html"">criteria for a Persons Under Investigation (PUI)</a>. Providers should immediately notify infection control personnel at their facility if they suspect COVID-19 in a patient.</p>",https://www.cdc.gov/coronavirus/2019-ncov/hcp/faq.html,Healthcare Professionals: Frequently Asked Questions and Answers,Center for Disease Control and Prevention (CDC),Healthcare Professionals,USA,,,en,3/17/20
symptoms of coronavirus diagnosis,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
