group,worker_id,chat_input,chat_response,chat_bot_type
jugglechat,5f7348befe835c03850492ff,How long is the incubation  period for covid 19,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",faq
jugglechat,5f7348befe835c03850492ff,What is the fatality rate for someone under 30,"Call ahead: If you are experiencing symptoms of COVID-19, and may have had contact with a person with COVID-19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care so that appropriate precautions can be taken.",faq
jugglechat,5ed4c3d73ac88100098198f1,What is Covid-19,the period of time that it takes COVID-19 to develop after being exposed,qa
jugglechat,5d56742f6e2ec30001cdf081,Hello,"I'm sorry, but I don't seem to have a solid answer for that.. :(",greet
jugglechat,5ed4c3d73ac88100098198f1,Where did Covid-19 start,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",faq
jugglechat,5f7348befe835c03850492ff,where did covid come from,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5d56742f6e2ec30001cdf081,Where did COVID-19 orginate,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5f7348befe835c03850492ff,Does wearing a mask prevent the spread of covid,the use of a mask is not recommended for preventing the spread of COVID-19,qa
jugglechat,5ed4c3d73ac88100098198f1,Is it dangerous,there is little evidence showing that these masks used by healthy people will prevent transmission to the public,qa
jugglechat,5d56742f6e2ec30001cdf081,How can COVID-19 be treated,"Not all patients with COVID-19 will require medical supportive care. Clinical management for hospitalized patients with COVID-19 is focused on supportive care of complications, including advanced organ support for respiratory failure, septic shock, and multi-organ failure. Empiric testing and treatment for other viral or bacterial etiologies may be warranted.. . Corticosteroids are not routinely recommended for viral pneumonia or ARDS and should be avoided unless they are indicated for another reason (e.g., COPD exacerbation, refractory septic shock following Surviving Sepsis Campaign Guidelines).. . There are currently no antiviral drugs licensed by the U.S. Food and Drug Administration (FDA) to treat COVID-19. Some in-vitro or in-vivo studies suggest potential therapeutic activity of some agents against related coronaviruses, but there are no available data from observational studies or randomized controlled trials in humans to support recommending any investigational therapeutics for patients with confirmed or suspected COVID-19 at this time. Remdesivir, an investigational antiviral drug, was reported to have in-vitro activity against COVID-19. A small number of patients with COVID-19 have received intravenous remdesivir for compassionate use outside of a clinical trial setting. A randomized placebo-controlled clinical trial of remdesivirexternal icon for treatment of hospitalized patients with COVID-19 respiratory disease has been implemented in China. A randomized open label trialexternal icon of combination lopinavir-ritonavir treatment has been also been conducted in patients with COVID-19 in China, but no results are available to date. trials of other potential therapeutics for COVID-19 are being planned. For information on specific clinical trials underway for treatment of patients with COVID-19 infection, see clinicaltrials.govexternal icon.. . See Interim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease 2019 (COVID-19)",faq
