group,chat_input,chat_response,chat_bot_type
qa,What is the survival rate of Covid-19,20-30 per thousand people diagnosed,qa
qa,What are the main symptoms of Covid-19,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,Where did Covid-19 originate,it is only passing person-to-person currently,qa
qa,What's the best way to prevent Covid-19,avoid being exposed to the virus and use good hand hygiene,qa
qa,How do I know if I have Covid-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,How is covid transmitted,contact with respiratory droplets rather than through the air,qa
qa,How can we contain covid,there is no evidence to support transmission of COVID-19 through imported goods.,qa
qa,How long do we self isolate for,14 days,qa
qa,Can we still socialise,There is still a lot to learn about how weather and temperature impact spread,qa
qa,How infectious is it,whether infectious virus is present in extrapulmonary specimens is currently unknown,qa
qa,How is covid transmitted to humans,camels,qa
qa,Will the COVID-19 vaccine become a yearly vaccine like the flu vaccine,"At this time, there is no vaccine for COVID-19",qa
qa,Is the government still helping provide medical equipment for states who's cases of coronavirus have suddenly spiked,"As in any public health event, our Medical and Health Coordination Center has been activated and is coordinating response efforts across the state and preparing for possible community transmission",qa
qa,Is coronavirus compared to the spanish flu pandemic,Coronaviruses are types of viruses that cause illnesses.,qa
qa,Do face masks actually help the spread of coronavirus,Communicating the facts that viruses do not target specific racial or ethnic groups and how COVID-19 actually spreads can help stop stigma,qa
qa,How many people in the United States have been infected with the coronavirus,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,When will the first vaccine make ways to the people,"At this time, there is no vaccine for COVID-19",qa
qa,What is the recovery period of someone with Covid,"the quarantine period is 14 days, or two weeks, from date of possible exposure",qa
qa,Have you had coronavirus,"contact their competent health office, get in touch with the doctor or call 116117",qa
qa,What is the most effective way to combat COVID,Treatment of the infection depends on the severity of the disease presentation,qa
qa,How do you prevent transmission,there is no evidence to support transmission of COVID-19 through imported goods,qa
qa,Do I have coronavirus,We have guidance available for people who have or think they may have COVID-19,qa
qa,When will a vaccine be ready,"At this time, there is no vaccine for COVID-19",qa
qa,What is the guidance,What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) .,qa
qa,What is the most common way to transmit COVID,respiratory droplets that come from coughing or sneezing,qa
qa,Will you die from covid if you get it,"stay at home except when you need to get medical care. If you experience difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, bluish lips or face",qa
qa,How many countries have Covid,"strict and increasingly more drastic restrictions in international air and other travel, worldwide restrictions on admission, quarantine measures and restrictions on public life in many countries",qa
qa,"If cases are rising, does that mean that people are not following the proper guidelines or are things like the climate another factor",it is still adults who make up most of the cases we are seeing today,qa
qa,Can't open the PDF,What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Who is most vunerable,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,Are children more at risk of dying than adults are,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,How many people have caught COVID,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,Where did Covid originate,it is only passing person-to-person currently,qa
qa,What is the most common symptom,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,Can you catch COVID from people not showing symptoms,The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales.,qa
qa,Are schools hotspots in terms of transmission,Depending on local circumstances,qa
qa,"Hi, who are you",only wear a face mask if a healthcare professional recommends it,qa
qa,How many cases globally,See the situation updates for the latest available information,qa
qa,Should I wear a face mask indoors,only wear a face mask if a healthcare professional recommends it,qa
qa,wasn't coronavirus caused by chinese eating bats,It is currently assumed that SARS-CoV-2 was spread to human beings from bats,qa
qa,"Hello, what is the best way to prevent catching Covid 19",avoid being exposed to the virus and use good hand hygiene,qa
qa,Why does an area being well ventilated help to prevent the spread of Covid-19,avoid being exposed to the virus and use good hand hygiene,qa
qa,How can I avoid being exposed to the virus,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,why dont we just cull all bats,The risk of catching COVID-19 from someone with no symptoms at all is very low,qa
qa,Should I avoid people,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Has the virus mutated and become more lethal or infectious since it was first discovered,"Unlike SARS, in Covid-19, patients become highly infectious before they become seriously ill",qa
qa,How common is asymptomatic infection,it is not yet known what role asymptomatic infection plays in transmission,qa
qa,how does that work though,"They have the same symptoms, though it may be milder in children",qa
qa,How do I know i'm sick,There is still a lot to learn about how weather and temperature impact spread,qa
qa,Why do some people suffer from coronavirus and others show no symptoms,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,children pass on to adults,"children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date",qa
qa,How often should I wash my hands,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Is weather related to covid spread,it is not known whether the spread of COVID-19 will decrease when weather becomes warmer,qa
qa,What is ICP,guidance available for people who have or think they may have COVID-19,qa
qa,Do the gaps in masks (above the nose) mean that you're still spreading infected droplets,"Masks slow the spread of COVID-19 because they help keep people who are infected from spreading respiratory droplets to others when they cough, sneeze, or talk. Medical masks and N-95 respirators are for healthcare workers and other first responders, as recommended by current CDC guidance. Some people shouldn't wear masks: Children younger than 2 years old, Anyone who has trouble breathing, Anyone who is unconscious, incapacitated, or otherwise unable to remove the mask without help",qa
qa,Where did covid-19 originate from,someone who has been released from quarantine is not at risk of spreading it to others because they did not develop COVID-19 during that period,qa
qa,What is Covid-19,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,How can I avoid spreading Covid-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,what are the symptoms of covid-19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,What is that supposed to mean,detection of viral RNA does not necessarily mean that infectious virus is present,qa
qa,how is covid-19 transmitted,contact with respiratory droplets rather than through the air,qa
qa,Why shouldn't children under 2 years old wear a mask,Some people shouldn't wear masks,qa
qa,What are the symptoms of covid-19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,how can you prevent the transmission of covid-19,"droplets released when you sneeze, cough, or talk",qa
qa,Are you just saying random things,"avoid contact with your pet, including petting, snuggling, being kissed or licked, and sharing food",qa
qa,How can i prevent spreading covid-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Why do some people with no underlying health conditions die from Covid-19,"elderly people and those with underlying health conditions (e.g. hypertension, diabetes, cardiovascular disease, chronic respiratory disease and cancer) are considered to be more at risk of developing severe symptoms.",qa
