group,worker_id,evaluation_sentiment,evaluation_accuracy,evaluation_usefulness,sentiment
jugglechat,5ed4c3d73ac88100098198f1,"Some of the questions (e.g. how long to wash your hands) it answered correctly, but others (e.g. What is Covid-19) it gave completely the wrong response.",4,4,0
jugglechat,5d56742f6e2ec30001cdf081,It was ok - it could be improved. Only 2 of my questions were accurately answered. The speed of the responses was good.,6,5,1
jugglechat,5dfe2d266552efac7758576e,some questions were not answered correctly.,1,2,0
jugglechat,5f7348befe835c03850492ff,"I thought the chat bot answered a lot of questions that were already in the article that was presented. however when i asked if a mask should prevent the spread of covid, the bot said no, which I'm pretty sure is wrong. However many of the other responses to the questions were useful. It was hard to come up with random questions that I had after just reading the article that answered a lot of them",7,5,0
jugglechat,56ce42d9465e580006846f57,i do not like chatbots but if i had more time i might better understand its thinking and the answers it gives,7,9,0
jugglechat,5d833b0e6642ee0001bfa9cb,It does not seeem to be accurately answering the questions,1,1,0
jugglechat,5fad4bbb57e5f001af893c8b,"It felt like some responses were incorrect, such when I asked about the mortality rate and the Wuhan critically ill mortality rate the given responses by the bot were incorrect. It delivered correct responses regarding simple issues related to COVID-19 Symptoms, however the response was large and could of been compressed down into bullet points for an easier user experience. Overall, the responses seemed promising but it just needs fine tuning.",6,6,0
jugglechat,5d7978a501a3bf00172a9053,It didn't answer anything I asked,1,1,0
jugglechat,5f6dbceffa9ab9240869641c,I dont really think it picked up on what I was asking it. It picked up key words but not the actual question,6,5,0
jugglechat,5ede88650fc669109d447993,"Okay but not great, two of my responses did not answer or relate to the question that I asked. Three of the questions that I asked were answered well and correctly and my final question gave me useful information.",7,6,0
jugglechat,5cf17b927c3db00019d46169,it was okay if that is what i was looking for,6,7,1
jugglechat,5f68b388639cf2015e259207,the chat was automated thus the answers weren't related to the questions,1,1,0
jugglechat,5a4e26a8f4c9dc0001b7a1b5,it was quick,5,5,1
jugglechat,5eaf1a2c649fd108284c2b5f,I don't think the bot understood several of my basic questions. I did not find the experience to be very helpful. I was often given answers that did not address my question.,4,6,0
jugglechat,5c4715a0c41b2a0001838ebf,It seems ok however was not successfully in responding correctly to all my questions,5,5,0
jugglechat,59e09b1f24d7bf00012f0ca8,"The chat bot didn't actually answer the questions I asked - some answers were totally unrelated to the question, whilst others were incorrect (such as 'what is IPC'. Overall the experience was poor.",1,1,0
jugglechat,5c766bccf1bfcf001554f0c0,"The summary of the lesson was good, otherwise the bot did not give specific answers that related to my questions.",4,5,0
jugglechat,5f966d8921aa2d5482db1325,It isn't very accurate to my questions. It seems to be triggering on keywords or the NLP isn't interpreting correctly. It could potentially be worthwhile to provide interactive feedback mechanisms in it's responses in order for the user to dig further without asking a second question.,2,2,0
jugglechat,58d3d69a47aa1e00010476f4,i enjoyed it because it was friendly but factual at the same time,10,10,1
jugglechat,5cc645136beb0100161eed52,Simple and easy to understand what the replies were,10,10,1
jugglechat,594ef8ef6d3780000120d4d9,"reasonably good and very fast. one question it gave me an answer that wasn't relevant to the lesson, but when I asked more specifically it gave me a better reply.",9,9,0
jugglechat,5bb8e15207378900018eec62,i don't think it was very accurate in answering my questions it gave different answers as to what i had asked,4,4,0
jugglechat,5d91b008f9f7440016406572,the bot didn't really give me detailed information and wasn't always direct intelligent response to my questions,4,3,0
jugglechat,5cb9a316531e2200010b7d42,It was okay. Some answers weren't related to the questions.,7,7,1
jugglechat,5f1217f36da6b51388a85d36,I got very thorough answers and explanation of the questions that I asked which allowed easy understanding and answered the question very well.,10,10,1
jugglechat,5f514abc8c2b9c36de8c03b6,"All seemed to be ok, gave detailed responses. A useful way to find answers, but I'd like some reassurance of the authenticity of the answers",7,7,1
jugglechat,5bcf365f937b3c00014396f6,"Seemed to give answers based on keywords, so didn't always answer the question that was asked",5,8,0
jugglechat,5bfebb346fe16d0001678101,It understood what I was asking and was very thorough without being complicated,10,10,1
jugglechat,5c2fcd716ea6880001dc8e3d,"It was okay, not really responding to questions completely right though. But am not sure if I asked the right questions either. I hope I did.",5,4,1
jugglechat,5ca8cc500adbf40001d8425a,"It was good, although I felt that some of the responses did not fully answer my question. I wanted to know more about IPC but the answer didn't really clarify anything.",5,7,0
jugglechat,5e28a683049d4806e244ca02,Definitely felt like talking to a bot and not a person. Could have found all that information myself online.,6,8,0
jugglechat,5b5341ddd8348500012ca10d,"The chat experience was ok. Some of the answers the chatbot gave to my questions appeared accurate and detailed, but a couple were less so. One question in particular was largely irrelevant (my first question when I asked what the main symptoms were).  So I have mixed feeling about the usefulness of the chatbot in providing accurate information.",7,6,0
jugglechat,5b9d73ec6b0f63000148db87,"Very detailed answers, which were well written and had good clarity. It covered a range of questions about COVID-19 like a FAQ. The answers were to the point and accurate.",10,9,1
jugglechat,5e6a8a9db0939604b239309d,I asked quite specific questions and the bot gave quite generic answers you can get from anywhere.  My experience of bots is that they don't really answer the specific questions I ask when I have used them before.  I find them quite frustrating!,5,4,0
